CBSA,State,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Dallas-Fort Worth-Arlington, TX,19100,2017,212,116,84,12,0,0,0,147,87,49,0,7,136,0,69,0
Eagle Pass, TX,20580,2017,201,171,30,0,0,0,0,79,55,30,0,0,0,0,201,0
El Paso, TX,21340,2017,212,93,107,11,1,0,0,154,90,53,1,19,135,0,55,2
Houston-The Woodlands-Sugar Land, TX,26420,2017,212,107,94,10,1,0,0,154,87,50,0,11,108,0,92,1
Killeen-Temple, TX,28660,2017,212,179,29,4,0,0,0,115,61,40,0,0,212,0,0,0
Kingsville, TX,28780,2017,204,161,43,0,0,0,0,98,59,35,0,0,0,0,204,0
Laredo, TX,29700,2017,212,162,50,0,0,0,0,87,63,40,0,0,67,0,145,0
Longview, TX,30980,2017,211,196,15,0,0,0,0,74,48,36,0,4,206,1,0,0
Lubbock, TX,31180,2017,210,198,12,0,0,0,0,92,43,23,0,0,0,0,210,0
Marshall, TX,32220,2017,210,178,32,0,0,0,0,94,55,39,0,0,137,0,73,0
McAllen-Edinburg-Mission, TX,32580,2017,212,147,65,0,0,0,0,95,67,41,0,0,86,0,126,0
Mount Pleasant, TX,34420,2017,212,211,1,0,0,0,0,67,13,1,0,0,0,212,0,0
Odessa, TX,36220,2017,198,188,10,0,0,0,0,94,44,27,0,0,0,0,198,0
San Antonio-New Braunfels, TX,41700,2017,212,150,59,1,2,0,0,188,67,44,0,3,132,0,77,0
Tyler, TX,46340,2017,211,192,19,0,0,0,0,90,49,37,0,5,206,0,0,0
Victoria, TX,47020,2017,210,192,18,0,0,0,0,84,49,35,0,0,210,0,0,0
Waco, TX,47380,2017,212,189,22,1,0,0,0,112,51,38,0,2,183,0,27,0
Texarkana, TX-AR,45500,2017,211,189,22,0,0,0,0,70,51,33,0,0,0,0,211,0
Ogden-Clearfield, UT,36260,2017,304,144,123,35,2,0,0,162,105,51,0,16,240,0,47,1
Price, UT,39220,2017,304,197,107,0,0,0,0,90,71,48,0,0,304,0,0,0
Provo-Orem, UT,39340,2017,304,138,149,14,3,0,0,161,87,53,0,23,231,0,47,3
Salt Lake City, UT,41620,2017,304,135,129,40,0,0,0,147,105,54,0,4,244,0,55,1
St. George, UT,41100,2017,304,213,90,1,0,0,0,101,71,45,0,0,292,0,12,0
Vernal, UT,46860,2017,304,193,101,2,6,2,0,206,71,48,0,0,288,0,16,0
Logan, UT-ID,30860,2017,304,205,82,11,6,0,0,167,77,46,0,0,213,0,89,2
Blacksburg-Christiansburg-Radford, VA,13980,2017,272,137,62,46,27,0,0,200,150,50,0,0,100,172,0,0
Charlottesville, VA,16820,2017,211,186,25,0,0,0,0,80,52,38,0,0,108,0,103,0
Harrisonburg, VA,25500,2017,210,190,20,0,0,0,0,74,50,36,0,48,116,0,46,0
Lynchburg, VA,31340,2017,87,83,4,0,0,0,0,60,44,26,0,0,0,0,87,0
Richmond, VA,40060,2017,239,189,50,0,0,0,0,97,58,41,0,4,123,0,108,4
Roanoke, VA,40220,2017,273,243,29,1,0,0,0,116,51,37,0,6,105,12,150,0
Virginia Beach-Norfolk-Newport News, VA-NC,47260,2017,231,201,30,0,0,0,0,93,53,40,0,18,109,0,101,3
Winchester, VA-WV,49020,2017,198,175,23,0,0,0,0,80,51,38,0,0,102,0,91,5
Bennington, VT,13540,2017,180,168,11,1,0,0,0,101,49,38,0,0,162,0,18,0
Burlington-South Burlington, VT,15540,2017,181,170,11,0,0,0,0,74,47,37,0,6,157,0,17,1
Rutland, VT,40860,2017,181,150,31,0,0,0,0,87,56,40,2,1,129,0,49,0
Aberdeen, WA,10140,2017,212,207,5,0,0,0,0,59,31,18,0,0,0,0,212,0
Bellingham, WA,13380,2017,212,141,68,3,0,0,0,119,70,37,0,0,48,122,42,0
Bremerton-Silverdale, WA,14740,2017,208,205,3,0,0,0,0,72,27,13,0,0,0,0,208,0
Centralia, WA,16500,2017,212,205,7,0,0,0,0,70,34,16,0,0,0,0,212,0
Ellensburg, WA,21260,2017,207,170,34,3,0,0,0,128,63,24,0,0,0,0,207,0
Kennewick-Richland, WA,28420,2017,212,164,46,2,0,0,0,112,64,35,0,0,85,0,117,10
Longview, WA,31020,2017,212,202,10,0,0,0,0,58,35,16,0,0,0,0,212,0
Moses Lake, WA,34180,2017,212,198,14,0,0,0,0,74,36,18,0,0,0,0,212,0
Mount Vernon-Anacortes, WA,34580,2017,274,272,2,0,0,0,0,64,43,33,0,43,206,0,25,0
Olympia-Tumwater, WA,36500,2017,212,196,16,0,0,0,0,90,47,27,0,0,87,0,125,0
Othello, WA,36830,2017,212,212,0,0,0,0,0,40,23,10,0,0,0,0,212,0
Port Angeles, WA,38820,2017,212,190,22,0,0,0,0,67,51,38,0,0,150,0,62,0
Pullman, WA,39420,2017,212,211,1,0,0,0,0,54,28,14,0,0,0,0,212,0
Seattle-Tacoma-Bellevue, WA,42660,2017,212,142,61,7,2,0,0,158,81,46,0,15,125,0,72,0
Shelton, WA,43220,2017,210,200,10,0,0,0,0,66,36,16,0,0,0,0,210,0
